Time (s), df/f, epoch
7.5648, -0.0058, 1
7.5748, -0.0045, 1
7.5848, -0.0047, 1
7.5948, -0.0072, 1
7.6048, -0.0093, 1
7.6148, -0.0098, 1
7.6248, -0.0070, 1
7.6348, -0.0060, 1
7.6448, -0.0082, 1
7.6548, -0.0088, 1
7.6648, -0.0095, 1
7.6748, -0.0106, 1
7.6848, -0.0119, 1
7.6948, -0.0111, 1
7.7048, -0.0101, 1
7.7148, -0.0099, 1
7.7248, -0.0114, 1
7.7348, -0.0115, 1
7.7448, -0.0112, 1
7.7548, -0.0118, 1
7.7648, -0.0111, 1
7.7748, -0.0094, 1
7.7848, -0.0101, 1
7.7948, -0.0115, 1
7.8048, -0.0122, 1
7.8148, -0.0119, 1
7.8248, -0.0116, 1
7.8348, -0.0110, 1
7.8448, -0.0097, 1
7.8548, -0.0091, 1
7.8648, -0.0110, 1
7.8748, -0.0130, 1
7.8848, -0.0115, 1
7.8948, -0.0108, 1
7.9048, -0.0110, 1
7.9148, -0.0115, 1
7.9248, -0.0128, 1
7.9348, -0.0147, 1
7.9448, -0.0146, 1
7.9548, -0.0120, 1
7.9648, -0.0087, 1
7.9748, -0.0078, 1
7.9848, -0.0080, 1
7.9948, -0.0074, 1
8.0048, -0.0080, 1
8.0148, -0.0107, 1
8.0248, -0.0107, 1
8.0348, -0.0097, 1
8.0448, -0.0090, 1
8.0548, -0.0091, 1
8.0648, -0.0106, 1
8.0748, -0.0133, 1
8.0848, -0.0166, 1
8.0948, -0.0193, 1
8.1048, -0.0187, 1
8.1148, -0.0170, 1
8.1248, -0.0182, 1
8.1348, -0.0205, 1
8.1448, -0.0222, 1
8.1548, -0.0231, 1
8.1648, -0.0226, 1
8.1748, -0.0203, 1
8.1848, -0.0178, 1
8.1948, -0.0188, 1
8.2048, -0.0206, 1
8.2148, -0.0212, 1
8.2248, -0.0186, 1
8.2348, -0.0167, 1
8.2448, -0.0152, 1
8.2548, -0.0139, 1
8.2648, -0.0156, 1
8.2748, -0.0180, 1
8.2848, -0.0175, 1
8.2948, -0.0160, 1
8.3048, -0.0153, 1
8.3148, -0.0172, 1
8.3248, -0.0183, 1
8.3348, -0.0180, 1
8.3448, -0.0181, 1
8.3548, -0.0178, 1
8.3648, -0.0153, 1
8.3748, -0.0142, 1
8.3848, -0.0148, 1
8.3948, -0.0155, 1
8.4048, -0.0162, 1
8.4148, -0.0163, 1
8.4248, -0.0162, 1
8.4348, -0.0154, 1
8.4448, -0.0137, 1
8.4548, -0.0137, 1
8.4648, -0.0141, 1
8.4748, -0.0128, 1
8.4848, -0.0114, 1
8.4948, -0.0113, 1
8.5048, -0.0131, 1
8.5148, -0.0131, 1
8.5248, -0.0154, 1
8.5348, -0.0185, 1
8.5448, -0.0211, 1
8.5548, -0.0211, 1
8.5648, -0.0209, 1
8.5748, -0.0194, 1
8.5848, -0.0166, 1
8.5948, -0.0145, 1
8.6048, -0.0155, 1
8.6148, -0.0150, 1
8.6248, -0.0131, 1
8.6348, -0.0125, 1
8.6448, -0.0142, 1
8.6548, -0.0163, 1
8.6648, -0.0174, 1
8.6748, -0.0178, 1
8.6848, -0.0178, 1
8.6948, -0.0172, 1
8.7048, -0.0164, 1
8.7148, -0.0180, 1
8.7248, -0.0209, 1
8.7348, -0.0224, 1
8.7448, -0.0229, 1
8.7548, -0.0229, 1
8.7648, -0.0215, 1
8.7748, -0.0184, 1
8.7848, -0.0146, 1
8.7948, -0.0133, 1
8.8048, -0.0138, 1
8.8148, -0.0144, 1
8.8248, -0.0158, 1
8.8348, -0.0164, 1
8.8448, -0.0149, 1
8.8548, -0.0137, 1
8.8648, -0.0151, 1
8.8748, -0.0153, 1
8.8848, -0.0142, 1
8.8948, -0.0125, 1
8.9048, -0.0140, 1
8.9148, -0.0154, 1
8.9248, -0.0155, 1
8.9348, -0.0168, 1
8.9448, -0.0194, 1
8.9548, -0.0193, 1
8.9648, -0.0181, 1
8.9748, -0.0172, 1
8.9848, -0.0169, 1
8.9948, -0.0164, 1
9.0048, -0.0157, 1
9.0148, -0.0155, 1
9.0248, -0.0150, 1
9.0348, -0.0137, 1
9.0448, -0.0133, 1
9.0548, -0.0152, 1
9.0648, -0.0174, 1
9.0748, -0.0186, 1
9.0848, -0.0184, 1
9.0948, -0.0184, 1
9.1048, -0.0146, 1
9.1148, -0.0133, 1
9.1248, -0.0122, 1
9.1348, -0.0111, 1
9.1448, -0.0088, 1
9.1548, -0.0078, 1
9.1648, -0.0084, 1
9.1748, -0.0093, 1
9.1848, -0.0084, 1
9.1948, -0.0093, 1
9.2048, -0.0111, 1
9.2148, -0.0131, 1
9.2248, -0.0145, 1
9.2348, -0.0144, 1
9.2448, -0.0137, 1
9.2548, -0.0125, 1
9.2648, -0.0121, 1
9.2748, -0.0129, 1
9.2848, -0.0123, 1
9.2948, -0.0099, 1
9.3048, -0.0082, 1
9.3148, -0.0079, 1
9.3248, -0.0077, 1
9.3348, -0.0076, 1
9.3448, -0.0096, 1
9.3548, -0.0108, 1
9.3648, -0.0100, 1
9.3748, -0.0092, 1
9.3848, -0.0105, 1
9.3948, -0.0138, 1
9.4048, -0.0141, 1
9.4148, -0.0138, 1
9.4248, -0.0136, 1
9.4348, -0.0135, 1
9.4448, -0.0121, 1
9.4548, -0.0134, 1
9.4648, -0.0131, 1
9.4748, -0.0120, 1
9.4848, -0.0091, 1
9.4948, -0.0073, 1
9.5048, -0.0075, 1
9.5148, -0.0087, 1
9.5248, -0.0110, 1
9.5348, -0.0153, 1
9.5448, -0.0173, 1
9.5548, -0.0164, 1
9.5648, -0.0151, 1
9.5748, -0.0146, 1
9.5848, -0.0137, 1
9.5948, -0.0128, 1
9.6048, -0.0138, 1
9.6148, -0.0147, 1
9.6248, -0.0141, 1
9.6348, -0.0121, 1
9.6448, -0.0098, 1
9.6548, -0.0076, 1
9.6648, -0.0059, 1
9.6748, -0.0071, 1
9.6848, -0.0117, 1
9.6948, -0.0134, 1
9.7048, -0.0131, 1
9.7148, -0.0127, 1
9.7248, -0.0130, 1
9.7348, -0.0144, 1
9.7448, -0.0158, 1
9.7548, -0.0179, 1
9.7648, -0.0182, 1
9.7748, -0.0156, 1
9.7848, -0.0141, 1
9.7948, -0.0159, 1
9.8048, -0.0180, 1
9.8148, -0.0190, 1
9.8248, -0.0193, 1
9.8348, -0.0189, 1
9.8448, -0.0171, 1
9.8548, -0.0146, 1
9.8648, -0.0144, 1
9.8748, -0.0163, 1
9.8848, -0.0161, 1
9.8948, -0.0142, 1
9.9048, -0.0124, 1
9.9148, -0.0107, 1
9.9248, -0.0099, 1
9.9348, -0.0109, 1
9.9448, -0.0155, 1
9.9548, -0.0183, 1
